Source,Destination,Source Coordinates,Destination Coordinates,Total Distance (m),Total Duration (seconds),Onroad Duration (seconds),Charging Duration (seconds),Number of Stops,Distance (km)
Agra,Delhi,"27.1752554,78.0098161","28.6273928,77.1716954",209076,16712,14513,2199,1,209.076
Agra,Jaipur,"27.1752554,78.0098161","26.9154576,75.8189817",398610,27690,21894,5796,2,398.61
Ahmedabad,Amritsar,"23.0216238,72.5797068","31.6343083,74.8736788",1378073,107525,73187,34338,11,1378.073
Ahmedabad,Belgaum,"23.0216238,72.5797068","15.8572666,74.5069343",1002238,72132,52346,19786,7,1002.238
Ahmedabad,Bhavnagar,"23.0216238,72.5797068","21.7718836,72.1416449",174370,13090,11624,1466,1,174.37
Ahmedabad,Bhubaneswar,"23.0216238,72.5797068","20.2602964,85.8394521",5294082,455541,394714,60827,22,5294.082
Ahmedabad,Chandigarh,"23.0216238,72.5797068","30.7334421,76.7797143",1168055,92814,62773,30041,10,1168.055
Ahmedabad,Chennai,"23.0216238,72.5797068","13.0836939,80.270186",1848257,140679,95093,45586,14,1848.257
Ahmedabad,Coimbatore,"23.0216238,72.5797068","11.0018115,76.9628425",1889247,140286,94165,46121,14,1889.247
Ahmedabad,Dehradun,"23.0216238,72.5797068","30.3255646,78.0436813",1182222,95933,65419,30514,10,1182.222
Ahmedabad,Delhi,"23.0216238,72.5797068","28.6273928,77.1716954",923123,77056,51724,25332,8,923.123
Ahmedabad,Goa,"23.0216238,72.5797068","15.3004543,74.0855134",1115866,85513,62497,23016,8,1115.866
Ahmedabad,Hubli,"23.0216238,72.5797068","15.3518378,75.1379848",1097533,79222,57032,22190,8,1097.533
Ahmedabad,Hyderabad,"23.0216238,72.5797068","17.360589,78.4740613",1236098,94693,65468,29225,10,1236.098
Ahmedabad,Jaipur,"23.0216238,72.5797068","26.9154576,75.8189817",662066,55720,35686,20034,6,662.066
Ahmedabad,Jammu,"23.0216238,72.5797068","32.7185614,74.8580917",1514581,118155,79907,38248,12,1514.581
Ahmedabad,Jodhpur,"23.0216238,72.5797068","26.2967719,73.0351433",470024,34995,24900,10095,3,470.024
Ahmedabad,Kannur,"23.0216238,72.5797068","11.8763836,75.3737973",1772987,139540,94739,44801,13,1772.987
Ahmedabad,Keshod,"23.0216238,72.5797068","21.31486295,70.26789366226589",359840,28601,22310,6291,3,359.84
Ahmedabad,Kochi,"23.0216238,72.5797068","9.9674277,76.2454436",2087130,158448,106603,51845,16,2087.13
Ahmedabad,Kolkata,"23.0216238,72.5797068","22.5726459,88.3638953",4822836,411024,362771,48253,18,4822.836
Ahmedabad,Mumbai,"23.0216238,72.5797068","19.08157715,72.88662753964906",526218,37476,27883,9593,3,526.218
Ahmedabad,Nagpur,"23.0216238,72.5797068","21.1498134,79.0820556",1681985,129125,86892,42233,12,1681.985
Ahmedabad,Porbandar,"23.0216238,72.5797068","21.6409,69.611",428012,35000,26729,8271,3,428.012
Ahmedabad,Pune,"23.0216238,72.5797068","18.521428,73.8544541",667761,47117,35615,11502,4,667.761
Ahmedabad,Raipur,"23.0216238,72.5797068","21.2380912,81.6336993",1969518,153604,103236,50368,14,1969.518
Ahmedabad,Ranchi,"23.0216238,72.5797068","23.3700501,85.3250387",5254594,450940,391177,59763,21,5254.594
Ahmedabad,Udaipur,"23.0216238,72.5797068","24.578721,73.6862571",262424,20490,14994,5496,2,262.424
Ahmedabad,Vadodara,"23.0216238,72.5797068","22.2973142,73.1942567",112101,7563,6902,661,1,112.101
Amritsar,Ahmedabad,"31.6343083,74.8736788","23.0216238,72.5797068",1401505,110675,73627,37048,12,1401.505
Amritsar,Chennai,"31.6343083,74.8736788","13.0836939,80.270186",3236914,254745,170271,84474,27,3236.914
Amritsar,Dehradun,"31.6343083,74.8736788","30.3255646,78.0436813",453838,32796,23857,8939,2,453.838
Amritsar,Delhi,"31.6343083,74.8736788","28.6273928,77.1716954",462853,33338,24399,8939,2,462.853
Amritsar,Goa,"31.6343083,74.8736788","15.3004543,74.0855134",2505715,198397,135822,62575,21,2505.715
Amritsar,Hyderabad,"31.6343083,74.8736788","17.360589,78.4740613",2624651,207172,137673,69499,23,2624.651
Amritsar,Jaipur,"31.6343083,74.8736788","26.9154576,75.8189817",717372,50026,35330,14696,4,717.372
Amritsar,Mumbai,"31.6343083,74.8736788","19.08157715,72.88662753964906",1921770,149577,99696,49881,16,1921.77
Bagdogra,Bagdogra,"26.6988847,88.3200303","26.6988847,88.3200303",0,0,0,0,0,0.0
Belgaum,Ahmedabad,"15.8572666,74.5069343","23.0216238,72.5797068",996659,74285,53344,20941,7,996.659
Belgaum,Hyderabad,"15.8572666,74.5069343","17.360589,78.4740613",632109,50910,34076,16834,5,632.109
Belgaum,Kadapa,"15.8572666,74.5069343","14.4752936,78.8216861",704899,64800,41397,23403,5,704.899
Belgaum,Mumbai,"15.8572666,74.5069343","19.08157715,72.88662753964906",480566,35036,26020,9016,3,480.566
Belgaum,Mysore,"15.8572666,74.5069343","12.3051828,76.6553609",635413,49783,30610,19173,5,635.413
Belgaum,Pune,"15.8572666,74.5069343","18.521428,73.8544541",336232,25242,18861,6381,2,336.232
Belgaum,Tirupati,"15.8572666,74.5069343","13.6316368,79.4231711",776554,58155,37370,20785,7,776.554
Bengaluru,Agra,"12.9767936,77.590082","27.1752554,78.0098161",2549332,201356,133164,68192,20,2549.332
Bengaluru,Amritsar,"12.9767936,77.590082","31.6343083,74.8736788",2863521,221030,146771,74259,22,2863.521
Bengaluru,Belgaum,"12.9767936,77.590082","15.8572666,74.5069343",513418,42033,25007,17026,4,513.418
Bengaluru,Bhubaneswar,"12.9767936,77.590082","20.2602964,85.8394521",3866799,351207,329394,21813,8,3866.799
Bengaluru,Calicut,"12.9767936,77.590082","11.2450558,75.7754716",401471,36411,28664,7747,3,401.471
Bengaluru,Chandigarh,"12.9767936,77.590082","30.7334421,76.7797143",2653260,207613,137494,70119,20,2653.26
Bengaluru,Chennai,"12.9767936,77.590082","13.0836939,80.270186",339876,27478,20982,6496,2,339.876
Bengaluru,Coimbatore,"12.9767936,77.590082","11.0018115,76.9628425",365428,27003,19776,7227,2,365.428
Bengaluru,Dehradun,"12.9767936,77.590082","30.3255646,78.0436813",2677921,211266,140533,70733,22,2677.921
Bengaluru,Delhi,"12.9767936,77.590082","28.6273928,77.1716954",2408411,193787,128288,65499,19,2408.411
Bengaluru,Goa,"12.9767936,77.590082","15.3004543,74.0855134",573401,49310,32021,17289,4,573.401
Bengaluru,Gwalior,"12.9767936,77.590082","26.2037247,78.1573628",2663947,209872,138890,70982,21,2663.947
Bengaluru,Hubli,"12.9767936,77.590082","15.3518378,75.1379848",417560,32089,19760,12329,3,417.56
Bengaluru,Hyderabad,"12.9767936,77.590082","17.360589,78.4740613",568279,38808,27230,11578,4,568.279
Bengaluru,Jaipur,"12.9767936,77.590082","26.9154576,75.8189817",2151502,174009,112628,61381,17,2151.502
Bengaluru,Jodhpur,"12.9767936,77.590082","26.2967719,73.0351433",1977262,150706,101588,49118,14,1977.262
Bengaluru,Kannur,"12.9767936,77.590082","11.8763836,75.3737973",325461,30155,22986,7169,3,325.461
Bengaluru,Kochi,"12.9767936,77.590082","9.9674277,76.2454436",561259,41268,29826,11442,3,561.259
Bengaluru,Kolhapur,"12.9767936,77.590082","16.7028412,74.2405329",619367,48221,29537,18684,4,619.367
Bengaluru,Kolkata,"12.9767936,77.590082","22.5726459,88.3638953",3399883,306154,297582,8572,5,3399.883
Bengaluru,Madurai,"12.9767936,77.590082","9.9261153,78.1140983",482912,39606,27791,11815,3,482.912
Bengaluru,Mangalore,"12.9767936,77.590082","12.8698101,74.8430082",394016,38622,26831,11791,3,394.016
Bengaluru,Mumbai,"12.9767936,77.590082","19.08157715,72.88662753964906",990382,75161,49288,25873,7,990.382
Bengaluru,Mysore,"12.9767936,77.590082","12.3051828,76.6553609",146987,10535,8931,1604,1,146.987
Bengaluru,Nagpur,"12.9767936,77.590082","21.1498134,79.0820556",1082268,76587,52882,23705,7,1082.268
Bengaluru,Pondicherry,"12.9767936,77.590082","10.91564885,79.80694879844232",501660,45762,32958,12804,3,501.66
Bengaluru,Port Blair,"12.9767936,77.590082","11.6645348,92.7390448",1860337,166501,158516,7985,3,1860.337
Bengaluru,Pune,"12.9767936,77.590082","18.521428,73.8544541",844361,64931,40812,24119,6,844.361
Bengaluru,Raipur,"12.9767936,77.590082","21.2380912,81.6336993",1369801,102276,69672,32604,9,1369.801
Bengaluru,Rajahmundry,"12.9767936,77.590082","17.0050454,81.7804732",827424,63933,43367,20566,6,827.424
Bengaluru,Ranchi,"12.9767936,77.590082","23.3700501,85.3250387",3831497,346649,325470,21179,8,3831.497
Bengaluru,Thiruvananthapuram,"12.9767936,77.590082","8.4882267,76.947551",755665,58069,41295,16774,4,755.665
Bengaluru,Tiruchirappalli,"12.9767936,77.590082","10.804973,78.6870296",342957,28309,21372,6937,2,342.957
Bengaluru,Tirupati,"12.9767936,77.590082","13.6316368,79.4231711",256475,19063,14681,4382,2,256.475
Bengaluru,Tuticorin,"12.9767936,77.590082","8.8052602,78.1452745",631768,51226,35334,15892,4,631.768
Bengaluru,Udaipur,"12.9767936,77.590082","24.578721,73.6862571",1751860,136189,89712,46477,13,1751.86
Bengaluru,Vadodara,"12.9767936,77.590082","22.2973142,73.1942567",1391646,106803,72083,34720,10,1391.646
Bengaluru,Vijayawada,"12.9767936,77.590082","16.5087573,80.6185089",670407,51196,34880,16316,5,670.407
Bengaluru,Visakhapatnam,"12.9767936,77.590082","17.7231276,83.3012842",1039041,84956,56805,28151,8,1039.041
Bhatinda,Delhi,"30.25,75.0","28.6273928,77.1716954",419102,28944,21829,7115,2,419.102
Bhatinda,Jammu,"30.25,75.0","32.7185614,74.8580917",449518,35207,25119,10088,2,449.518
Bhavnagar,Ahmedabad,"21.7718836,72.1416449","23.0216238,72.5797068",293664,22922,18510,4412,3,293.664
Bhavnagar,Mumbai,"21.7718836,72.1416449","19.08157715,72.88662753964906",435177,35995,26729,9266,4,435.177
Bhopal,Agra,"23.2584857,77.401989","27.1752554,78.0098161",1634528,131382,88307,43075,13,1634.528
Bhopal,Ahmedabad,"23.2584857,77.401989","23.0216238,72.5797068",587110,47385,34069,13316,4,587.11
Bhopal,Bengaluru,"23.2584857,77.401989","12.9767936,77.590082",1920635,148998,101317,47681,15,1920.635
Bhopal,Bhopal,"23.2584857,77.401989","23.2584857,77.401989",0,0,0,0,0,0.0
Bhopal,Chennai,"23.2584857,77.401989","13.0836939,80.270186",2257493,178576,123242,55334,17,2257.493
Bhopal,Delhi,"23.2584857,77.401989","28.6273928,77.1716954",1493607,123405,82669,40736,12,1493.607
Bhopal,Hyderabad,"23.2584857,77.401989","17.360589,78.4740613",1644145,129475,89554,39921,13,1644.145
Bhopal,Jaipur,"23.2584857,77.401989","26.9154576,75.8189817",1231464,105726,69868,35858,10,1231.464
Bhopal,Kolkata,"23.2584857,77.401989","22.5726459,88.3638953",5224963,447901,388528,59373,21,5224.963
Bhopal,Mumbai,"23.2584857,77.401989","19.08157715,72.88662753964906",939140,73912,52205,21707,6,939.14
Bhopal,Nagpur,"23.2584857,77.401989","21.1498134,79.0820556",2083878,164005,111205,52800,15,2083.878
Bhopal,Pune,"23.2584857,77.401989","18.521428,73.8544541",1077768,83584,60907,22677,7,1077.768
Bhopal,Udaipur,"23.2584857,77.401989","24.578721,73.6862571",831822,67989,47220,20769,6,831.822
Bhubaneswar,Ahmedabad,"20.2602964,85.8394521","23.0216238,72.5797068",5305648,459480,398537,60943,19,5305.648
Bhubaneswar,Bengaluru,"20.2602964,85.8394521","12.9767936,77.590082",3867474,353467,330269,23198,8,3867.474
Bhubaneswar,Chennai,"20.2602964,85.8394521","13.0836939,80.270186",3531713,321299,307811,13488,5,3531.713
Bhubaneswar,Delhi,"20.2602964,85.8394521","28.6273928,77.1716954",6208906,536846,448702,88144,27,6208.906
Bhubaneswar,Hyderabad,"20.2602964,85.8394521","17.360589,78.4740613",4036037,362967,331852,31115,9,4036.037
Bhubaneswar,Kochi,"20.2602964,85.8394521","9.9674277,76.2454436",4264373,382426,348004,34422,11,4264.373
Bhubaneswar,Kolkata,"20.2602964,85.8394521","22.5726459,88.3638953",480656,43589,32209,11380,2,480.656
Bhubaneswar,Mumbai,"20.2602964,85.8394521","19.08157715,72.88662753964906",4779640,419068,370164,48904,15,4779.64
Bhubaneswar,Nagpur,"20.2602964,85.8394521","21.1498134,79.0820556",4535361,399357,353513,45844,12,4535.361
Bhubaneswar,Pune,"20.2602964,85.8394521","18.521428,73.8544541",4629956,406946,360359,46587,14,4629.956
Bhubaneswar,Raipur,"20.2602964,85.8394521","21.2380912,81.6336993",4823909,427026,372029,54997,15,4823.909
Bhubaneswar,Ranchi,"20.2602964,85.8394521","23.3700501,85.3250387",826637,82364,58186,24178,5,826.637
Bhubaneswar,Visakhapatnam,"20.2602964,85.8394521","17.7231276,83.3012842",3397644,308471,295226,13245,5,3397.644
Calicut,Chennai,"11.2450558,75.7754716","13.0836939,80.270186",712482,59008,40331,18677,5,712.482
Calicut,Delhi,"11.2450558,75.7754716","28.6273928,77.1716954",2754995,224832,149485,75347,22,2754.995
Calicut,Hyderabad,"11.2450558,75.7754716","17.360589,78.4740613",961384,76841,53614,23227,7,961.384
Calicut,Kannur,"11.2450558,75.7754716","11.8763836,75.3737973",91393,8685,8685,0,0,91.393
Calicut,Kochi,"11.2450558,75.7754716","9.9674277,76.2454436",169279,18755,14878,3877,2,169.279
Calicut,Mumbai,"11.2450558,75.7754716","19.08157715,72.88662753964906",1325237,112009,75806,36203,10,1325.237
Chandigarh,Ahmedabad,"30.7334421,76.7797143","23.0216238,72.5797068",1174271,91144,62082,29062,10,1174.271
Chandigarh,Chennai,"30.7334421,76.7797143","13.0836939,80.270186",3006241,231970,155108,76862,24,3006.241
Chandigarh,Delhi,"30.7334421,76.7797143","28.6273928,77.1716954",256354,20160,16283,3877,3,256.354
Chandigarh,Goa,"30.7334421,76.7797143","15.3004543,74.0855134",2276137,177730,122881,54849,18,2276.137
Chandigarh,Hyderabad,"30.7334421,76.7797143","17.360589,78.4740613",2396516,186554,125803,60751,20,2396.516
Chandigarh,Jaipur,"30.7334421,76.7797143","26.9154576,75.8189817",512838,34437,26363,8074,3,512.838
Chandigarh,Jammu,"30.7334421,76.7797143","32.7185614,74.8580917",375733,28113,20950,7163,3,375.733
Chandigarh,Kolkata,"30.7334421,76.7797143","22.5726459,88.3638953",5977090,501692,422321,79371,28,5977.09
Chandigarh,Mumbai,"30.7334421,76.7797143","19.08157715,72.88662753964906",1686324,128882,87590,41292,13,1686.324
Chandigarh,Pune,"30.7334421,76.7797143","18.521428,73.8544541",1828884,138537,95314,43223,14,1828.884
Chandigarh,Shimla,"30.7334421,76.7797143","31.1041526,77.1709729",109775,12525,9958,2567,1,109.775
Chennai,Ahmedabad,"13.0836939,80.270186","23.0216238,72.5797068",1836232,140930,96543,44387,14,1836.232
Chennai,Amritsar,"13.0836939,80.270186","31.6343083,74.8736788",3205924,248320,166166,82154,25,3205.924
Chennai,Bengaluru,"13.0836939,80.270186","12.9767936,77.590082",337241,28543,20840,7703,2,337.241
Chennai,Bhubaneswar,"13.0836939,80.270186","20.2602964,85.8394521",3527699,320696,307125,13571,6,3527.699
Chennai,Calicut,"13.0836939,80.270186","11.2450558,75.7754716",720057,59712,41031,18681,6,720.057
Chennai,Chandigarh,"13.0836939,80.270186","30.7334421,76.7797143",2995722,232852,155378,77474,23,2995.722
Chennai,Coimbatore,"13.0836939,80.270186","11.0018115,76.9628425",537445,42864,28185,14679,5,537.445
Chennai,Delhi,"13.0836939,80.270186","28.6273928,77.1716954",2744849,215666,143871,71795,21,2744.849
Chennai,Goa,"13.0836939,80.270186","15.3004543,74.0855134",909718,76977,52098,24879,7,909.718
Chennai,Hubli,"13.0836939,80.270186","15.3518378,75.1379848",752932,57588,38247,19341,6,752.932
Chennai,Hyderabad,"13.0836939,80.270186","17.360589,78.4740613",632273,49493,34132,15361,5,632.273
Chennai,Jaipur,"13.0836939,80.270186","26.9154576,75.8189817",2489655,199441,131950,67491,21,2489.655
Chennai,Jodhpur,"13.0836939,80.270186","26.2967719,73.0351433",2309574,179005,122821,56184,18,2309.574
Chennai,Kadapa,"13.0836939,80.270186","14.4752936,78.8216861",266806,24571,19539,5032,2,266.806
Chennai,Kannur,"13.0836939,80.270186","11.8763836,75.3737973",657870,55149,41580,13569,5,657.87
Chennai,Kochi,"13.0836939,80.270186","9.9674277,76.2454436",733698,57359,38681,18678,6,733.698
Chennai,Kolkata,"13.0836939,80.270186","22.5726459,88.3638953",3060572,278827,277627,1200,2,3060.572
Chennai,Madurai,"13.0836939,80.270186","9.9261153,78.1140983",467444,35501,24439,11062,3,467.444
Chennai,Mangalore,"13.0836939,80.270186","12.8698101,74.8430082",731397,65089,46160,18929,6,731.397
Chennai,Mumbai,"13.0836939,80.270186","19.08157715,72.88662753964906",1326907,104077,70974,33103,11,1326.907
Chennai,Mysore,"13.0836939,80.270186","12.3051828,76.6553609",478359,37500,28195,9305,4,478.359
Chennai,Nagpur,"13.0836939,80.270186","21.1498134,79.0820556",1144050,89875,58715,31160,9,1144.05
Chennai,Port Blair,"13.0836939,80.270186","11.6645348,92.7390448",1521218,139282,138682,600,1,1521.218
Chennai,Pune,"13.0836939,80.270186","18.521428,73.8544541",1179902,93678,62156,31522,9,1179.902
Chennai,Raipur,"13.0836939,80.270186","21.2380912,81.6336993",1431583,114622,74673,39949,11,1431.583
Chennai,Rajahmundry,"13.0836939,80.270186","17.0050454,81.7804732",611700,45763,31331,14432,5,611.7
Chennai,Ranchi,"13.0836939,80.270186","23.3700501,85.3250387",3492387,315279,303686,11593,5,3492.387
Chennai,Thiruvananthapuram,"13.0836939,80.270186","8.4882267,76.947551",951339,82824,56760,26064,8,951.339
Chennai,Tiruchirappalli,"13.0836939,80.270186","10.804973,78.6870296",334974,25051,18187,6864,2,334.974
Chennai,Tuticorin,"13.0836939,80.270186","8.8052602,78.1452745",616238,46985,31851,15134,4,616.238
Chennai,Udaipur,"13.0836939,80.270186","24.578721,73.6862571",2089029,162864,110253,52611,17,2089.029
Chennai,Vadodara,"13.0836939,80.270186","22.2973142,73.1942567",1722974,132225,90700,41525,13,1722.974
Chennai,Vijayawada,"13.0836939,80.270186","16.5087573,80.6185089",454960,33553,23343,10210,4,454.96
Chennai,Visakhapatnam,"13.0836939,80.270186","17.7231276,83.3012842",819744,64045,43387,20658,6,819.744
Coimbatore,Ahmedabad,"11.0018115,76.9628425","23.0216238,72.5797068",1881709,141600,95863,45737,15,1881.709
Coimbatore,Chennai,"11.0018115,76.9628425","13.0836939,80.270186",528994,40572,27027,13545,4,528.994
Coimbatore,Coimbatore,"11.0018115,76.9628425","11.0018115,76.9628425",0,0,0,0,0,0.0
Coimbatore,Delhi,"11.0018115,76.9628425","28.6273928,77.1716954",2796291,217132,143803,73329,23,2796.291
Coimbatore,Hyderabad,"11.0018115,76.9628425","17.360589,78.4740613",934504,68438,45741,22697,7,934.504
Coimbatore,Kochi,"11.0018115,76.9628425","9.9674277,76.2454436",193991,16832,13817,3015,1,193.991
Coimbatore,Kolkata,"11.0018115,76.9628425","22.5726459,88.3638953",3588800,319509,303802,15707,7,3588.8
Coimbatore,Mangalore,"11.0018115,76.9628425","12.8698101,74.8430082",410989,41130,31676,9454,4,410.989
Coimbatore,Mumbai,"11.0018115,76.9628425","19.08157715,72.88662753964906",1371400,104000,69903,34097,11,1371.4
Coimbatore,Pune,"11.0018115,76.9628425","18.521428,73.8544541",1225379,93842,61424,32418,10,1225.379
Dehradun,Ahmedabad,"30.3255646,78.0436813","23.0216238,72.5797068",1188901,95035,64897,30138,11,1188.901
Dehradun,Amritsar,"30.3255646,78.0436813","31.6343083,74.8736788",434953,30999,23202,7797,3,434.953
Dehradun,Delhi,"30.3255646,78.0436813","28.6273928,77.1716954",276069,20737,16430,4307,2,276.069
Dehradun,Hyderabad,"30.3255646,78.0436813","17.360589,78.4740613",2411869,190184,128343,61841,21,2411.869
Dehradun,Jaipur,"30.3255646,78.0436813","26.9154576,75.8189817",528346,37612,28687,8925,4,528.346
Dehradun,Jammu,"30.3255646,78.0436813","32.7185614,74.8580917",569279,41694,30042,11652,3,569.279
Dehradun,Kolkata,"30.3255646,78.0436813","22.5726459,88.3638953",5993441,505539,425245,80294,29,5993.441
Dehradun,Mumbai,"30.3255646,78.0436813","19.08157715,72.88662753964906",1702052,132072,89780,42292,14,1702.052
Dehradun,Pantnagar,"30.3255646,78.0436813","29.028405,79.4832094",414651,32556,22957,9599,3,414.651
Delhi,Agra,"28.6273928,77.1716954","27.1752554,78.0098161",220570,15604,12391,3213,1,220.57
Delhi,Ahmedabad,"28.6273928,77.1716954","23.0216238,72.5797068",998350,79225,54767,24458,7,998.35
